well_id,lat,lon,arsenic_ug_l
S98_00701,22.8731,90.7844,13
S98_00718,23.0194,90.8786,256
S98_00724,22.965,90.9597,38
S98_00727,22.9253,90.9744,8
S98_00733,22.8653,90.9372,< 6
S98_00734,22.8525,90.9058,< 6
S98_00736,22.8567,90.8642,15
S98_00749,22.9322,90.7767,65
S98_00752,22.9347,90.8294,< 6
S98_00756,22.9414,90.8644,142
S98_00777,23.5331,89.79,41
S98_00781,23.5347,89.8675,162
S98_00784,23.5969,89.8769,57
S98_00791,23.6603,89.7639,245
S98_00796,23.5825,89.8403,< 6
S98_00798,23.5872,89.8133,< 6
S98_00818,23.6669,89.8369,< 6
S98_00821,23.5753,89.7178,132
S98_00824,23.6139,89.7936,10
S98_00829,23.5819,89.835,< 6
S98_00854,24.6017,88.2767,35
S98_00858,24.6403,88.3783,< 6
S98_00871,24.6372,88.2381,< 6
S98_00877,24.6883,88.2633,< 6
S98_00881,24.6525,88.3139,< 6
S98_00883,24.5736,88.2067,8
S98_00890,24.5228,88.2683,< 6
S98_00891,24.5022,88.1817,14
S98_00894,24.4844,88.245,< 6
S98_00910,24.6114,88.3478,< 6
S98_02451,23.642,90.609,324
S98_02452,23.723,90.522,< 6
S98_02453,23.84,90.634,< 6
S98_02454,23.688,90.522,< 6
S98_02455,23.667,90.48,< 6
S98_02456,23.812,90.217,< 6
S98_02457,23.617,90.499,9
S98_02458,23.615,90.51,< 6
S98_02459,23.902,89.986,< 6
S98_02460,23.847,89.829,41
S98_02461,23.968,89.83,46
S98_02462,23.771,89.915,60
S98_02463,23.856,89.939,89
S98_02464,23.99,90.044,20
S98_02465,23.919,90.214,< 6
S98_02466,23.835,90.261,< 6
S98_02467,23.696,90.347,< 6
S98_02468,23.616,90.125,184
S98_02469,23.651,90.132,133
S98_02470,22.966,89.479,< 6
S98_02471,22.737,89.519,< 6
S98_02472,22.576,89.325,130
S98_02473,22.811,89.038,109
S98_02474,22.932,89.668,114
S98_02475,22.576,89.499,12
S98_02476,22.8,89.645,89
S98_02477,22.837,89.55,< 6
S98_02478,22.887,89.535,< 6
S98_02479,22.871,89.508,73
S98_02480,22.819,89.421,< 6
S98_02481,22.778,89.706,121
S98_02482,22.52,89.021,100
S98_02483,22.639,89.041,176
S98_02484,22.824,89.748,124
S98_02485,22.546,89.652,505
S98_02486,23.373,89.371,78
S98_02487,22.86,89.04,147
S98_02488,22.343,89.112,< 6
S98_02489,22.75,89.259,106
S98_02490,22.538,89.24,155
S98_02491,22.763,89.855,217
S98_02492,22.565,89.845,92
S98_02493,22.311,89.846,< 6
S98_02494,22.642,89.814,301
S98_02495,23.402,89.602,61
S98_02496,23.17,89.042,111
S98_02497,23.042,89.391,136
S98_02498,23.27,89.246,9
S98_02499,23.419,88.821,30
S98_02500,23.399,88.977,45
S98_02501,23.734,89.208,< 6
S98_02502,23.611,89.021,71
S98_02503,23.863,89.244,< 6
S98_02504,22.722,89.847,59
S98_02505,22.55,89.59,< 6
